text,label,Disease
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"Persistent depressive disorder symptom usually come and go over a period of years. The intensity of symptom can change over time. But symptom usually don't disappear for more than two month at a time. Also, major depression episode may occur before or during persistent depressive disorder. Symptoms of persistent depressive disorder can cause major problem in your life and may include: Sadness, emptiness or feeling down. Loss of interest in daily activities. Tiredness and lack of energy. Low self-esteem, self-criticism or feeling you're not capable. Trouble focusing clearly and trouble making decisions. Problems getting thing done well and on time. Quickly becoming annoyed, impatient or angry. Avoidance of social activities. Feelings of guilt and worry over the past. Poor appetite or overeating. Sleep problems. Hopelessness. In children, symptom of persistent depressive disorder may include depressed mood and being irritable, which mean easily becoming annoyed, impatient or angry.",747,Persistent Depressive Disorder
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"Petechiae Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Open pop-up dialog box Petechiae Open pop-up dialog box Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Close Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). People with myelodysplastic syndrome might not experience sign and symptom at first. In time, myelodysplastic syndrome might cause: Fatigue Shortness of breath Unusual paleness (pallor), which occurs due to a low red blood cell count (anemia) Easy or unusual bruising or bleeding, which occurs due to a low blood platelet count (thrombocytopenia) Pinpoint-sized red spot just beneath the skin that are caused by bleeding (petechiae) Frequent infections, which occur due to a low white blood cell count (leukopenia)",660,Myelodysplastic Syndrome
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"chill,fatigue,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"Most septal displacement result in no symptoms, and you may not even know you have a deviated septum. Some septal deformities, however, may cause the following sign and symptoms: Obstruction of one or both nostrils. This blockage can make it difficult to breathe through the nostril or nostrils. You may notice this more when you have a cold or allergy that can cause your nasal passage to swell and narrow. Nosebleeds. The surface of your nasal septum may become dry, increasing your risk of nosebleeds. Facial pain. There is some debate about the possible nasal cause of facial pain. A possible cause of one-sided facial pain could be a severe deviated septum in which surface within the nose touch and cause pressure. Noisy breathing during sleep. A deviated septum or swelling of the tissue in your nose can be one of the many reason for noisy breathing during sleep. Awareness of the nasal cycle. The nose alternate between being obstructed on one side and then change to being obstructed on the other. This is called the nasal cycle. Being aware of the nasal cycle isn't typical and can indicate nasal obstruction. Preference for sleeping on a particular side. Some people may prefer to sleep on a particular side to optimize breathing through the nose at night if one nasal passage is narrowed.",283,Deviated Septum
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
I have a lot of stomach pain and I have to take antacid to help. I have lost a lot of weight and I can't seem to gain it back. My mouth hurt really bad.,736,Peptic Ulcer Disease
"muscle weakness,swelling joints,movement stiffness,painful walking",72,Arthritis
"Most adult men with gynecomastia report no symptoms. Signs and symptom of the condition may include: Pain, particularly in adolescent Swollen breast tissue Breast tenderness Nipple sensitivity with rubbing against clothes",433,Gynecomastia
"itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"chill,vomiting,fatigue,high fever,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"vomiting,headache,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"joint pain,vomiting,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"itching,vomiting,fatigue,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails",822,Psoriasis
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"itching,skin rash,fatigue,lethargy,high fever,headache,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
"itching,skin rash,dischromic  patches",394,Fungal Infection
"A mold allergy cause the same sign and symptom that occur in other type of upper respiratory allergies. Signs and symptom of allergic rhinitis caused by a mold allergy can include: Sneezing Runny or stuffy nose Cough and postnasal drip Itchy eyes, nose and throat Watery eye Dry, scaly skin Mold allergy symptom vary from person to person and range from mild to severe. You might have year-round symptom or symptom that flare up only during certain time of the year. You might notice symptom when the weather is damp or when you're in indoor or outdoor space that have high concentration of mold. Mold allergy and asthma If you have a mold allergy and asthma, your asthma symptom can be triggered by exposure to mold spores. In some people, exposure to certain mold can cause a severe asthma attack. Signs and symptom of asthma include: Coughing Wheezing Shortness of breath Chest tightness",642,Mold Allergy
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"I have pain in my stomach that is worse when I hunch down or lie down. I have pain after eating certain foods, like hot or acidic food. I sometimes have loose stool because of this.",736,Peptic Ulcer Disease
"There are many different type of Ehlers-Danlos syndrome, but the most common sign and symptom include: Overly flexible joints. Because the connective tissue that hold joint together is looser, your joint can move far past the normal range of motion. Joint pain and dislocation are common. Stretchy skin. Weakened connective tissue allows your skin to stretch much more than usual. You may be able to pull a pinch of skin up away from your flesh, but it will snap right back into place when you let go. Your skin might also feel exceptionally soft and velvety. Fragile skin. Damaged skin often doesn't heal well. For example, the stitch used to close a wound often will tear out and leave a gaping scar. These scar may look thin and crinkly. Symptom severity can vary from person to person and depends on the specific type of Ehlers-Danlos syndrome that you have. The most common type is called hypermobile Ehlers-Danlos syndrome. Vascular Ehlers-Danlos syndrome People who have vascular Ehlers-Danlos syndrome often share distinctive facial feature of a thin nose, thin upper lip, small earlobe and prominent eyes. They also have thin, translucent skin that bruise very easily. In fair-skinned people, the underlying blood vessel are very visible through the skin. Vascular Ehlers-Danlos syndrome can weaken your heart's largest artery (aorta), a well a the artery to other region of your body. A rupture of any of these larger blood vessel can be fatal. The vascular type can also weaken the wall of the uterus or large intestine — which also may rupture. Causes Different type of Ehlers-Danlos syndrome are associated with a variety of genetic causes, some of which are inherited and passed on from parent to child. If you have the most common form, hypermobile Ehlers-Danlos syndrome, there's a 50% chance that you'll pas on the gene to each of your children. Complications Complications depend on the type of sign and symptom you have. For example, overly flexible joint can result in joint dislocation and early-onset arthritis. Fragile skin may develop prominent scarring. People who have vascular Ehlers-Danlos syndrome are at risk of often fatal rupture of major blood vessels. Some organs, such a the uterus and intestines, also may rupture. Pregnancy can increase the risk of a rupture in the uterus. Prevention If you have a personal or family history of Ehlers-Danlos syndrome and you're thinking about starting a family, you may benefit from talking to a genetic counselor — a health care professional trained to ass the risk of inherited disorders. Genetic counseling can help you understand the inheritance pattern of the type of Ehlers-Danlos syndrome that affect you and the risk it pose for your children. By Mayo Clinic Staff By Mayo Clinic Staff Ehlers-Danlos syndrome care at Mayo Clinic",333,Ehlers Danlos Syndrome
"I have been having headache for a long time. They are usually on one side of my head and are very painful. I also get nausea, vomiting, and sensitivity to light and sound.",630,Migraine
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"I've been having trouble breathing, coughing a lot, and feeling exhausted. I have a fever and have been coughing up a lot of thick, sticky mucus. I'm just so tired and worn out from dealing with this.",149,Bronchial Asthma
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"Muscle cramp occur mostly in leg muscles, most often in the calf. Cramps usually last for second to minutes. After the cramp eases, the area might be sore for hour or days.",656,Muscle Cramp
"Jock itch usually begin with a reddened area of skin in the crease in the groin. It often spread to the upper thigh in a half-moon shape. The rash may be ring-shaped and bordered with a line of small blisters. It may burn or feel itchy, and the skin may be flaky or scaly.",545,Jock Itch
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"skin rash,chill,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"vomiting,sweating,chest pain",447,Heart Attack
"acidity,indigestion,headache,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"chill,vomiting,fatigue,weight loss,cough,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"Sweat gland Open pop-up dialog box Close Sweat gland Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Sweat gland Open pop-up dialog box Sweat gland Open pop-up dialog box Open pop-up dialog box Close Sweat gland Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Close Sweat gland Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Close Sweat gland Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Close Close Close Sweat gland Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Sweat gland Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Eccrine sweat gland occur over most of the body and open directly onto the skin's surface. Apocrine gland open into the hair follicle, leading to the surface of the skin. Apocrine gland develop in area with many hair follicles, such a on the scalp, armpit and groin. Eccrine sweat gland are involved in hyperhidrosis, though apocrine gland may play a role a well. Adults usually develop heat rash in skin fold and where clothing rub against the skin. In infants, the rash is mainly found on the neck, shoulder and chest. It can also show up in the armpits, elbow crease and groin. Types of heat rash The type of heat rash are classified according to how deep the sweat is trapped in the skin. Signs and symptom for each type vary. The mildest form of heat rash is called miliaria crystallina. It occurs when the opening of the sweat duct on the surface of the skin (sweat pore) is blocked. This form is marked by tiny, clear, fluid-filled bump that break easily. A type that occurs deeper in the skin is called miliaria rubra. It is sometimes called prickly heat. Signs and symptom include small, inflamed blister-like bump and itching or prickling in the affected area. Occasionally, the inflamed bump of miliaria rubra fill with pus. This form is called miliaria pustulosa. A le common form of heat rash is called miliaria profunda. It affect the deepest layer of the skin (dermis). It cause firm, painful or itchy inflamed bump that look like goose bump and may break open.",455,Heat Rash
"fatigue,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"I have red, itchy skin. It can sometimes flake. My cheek and lip swell, which is really annoying. I sometimes have headache and runny eye because of the puffiness.",35,Allergy
"itching,skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"itching,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"I've been having pain in my neck, arms, and legs. I've also been having trouble staying balanced and without getting woozy.",186,Cervical Spondylosis
"acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes",467,Hepatitis D
"itching,skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"I have these itchy, rashy spot all over my skin. They're also a different color than the rest of my skin, and I have some bump that are kind of hard.",394,Fungal Infection
"fatigue,cough,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"I've been having these red rash that keep popping up and my skin is constantly itching. I've also noticed some odd color-different spot on my skin, a well a some little nodule on my skin that appear to be expanding.",394,Fungal Infection
"bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"Typically, there's no outward sign of this condition, such a a lump. Instead, you may experience the following symptoms: A feeling a if you're standing on a pebble in your shoe A burning pain in the ball of your foot that may radiate into your toe Tingling or numbness in your toe In addition to these symptoms, you may find that removing your shoe and rubbing your foot often help to relieve the pain.",648,Mortons Neuroma
Some sign and symptom of soft palate cancer can include the following: Bleeding Difficulty swallowing Difficulty speaking Bad breath Mouth pain Sores in your mouth that won't heal Loose teeth Pain when you swallow Weight loss Ear pain Swelling in your neck that may hurt White patch in your mouth that won't go away,921,Soft Palate Cancer
"continuous sneezing,chill,fatigue,cough,high fever,headache,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"skin rash,pus filled pimples,scurring",7,Acne
"Signs and symptom of mitral valve prolapse are due to the amount of blood leaking backward through the valve. Mitral valve prolapse symptom can vary widely from one person to another. Many people with mitral valve prolapse don't have noticeable symptoms. Other people may have mild symptom that develop gradually. Symptoms of mitral valve prolapse may include: A racing or irregular heartbeat (arrhythmia) Dizziness or lightheadedness Difficulty breathing or shortness of breath, especially during exercise or when lying flat Fatigue",636,Mitral Valve Prolapse
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"vomiting,headache,nausea,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"I've been experiencing a lot of itching, which ha been accompanied with a rash that appears to be growing worse over time. There are also certain area of skin that are different colour from the rest, and I've spotted several lump that resemble little nodes.",394,Fungal Infection
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"Usually, a child having a febrile seizure shake all over and loses consciousness. Sometimes, the child may get very stiff or twitch in just one area of the body. A child having a febrile seizure may: Have a fever higher than 100.4 F (38.0 C) Lose consciousness Shake or jerk the arm and leg Febrile seizure are classified a simple or complex: Simple febrile seizures. This most common type last from a few second to 15 minutes. Simple febrile seizure do not recur within a 24-hour period and are not specific to one part of the body. Complex febrile seizures. This type last longer than 15 minutes, occurs more than once within 24 hour or is confined to one side of your child's body. Febrile seizure most often occur within 24 hour of the onset of a fever and can be the first sign that a child is ill.",370,Febrile Seizure
"Pulmonary valve stenosis symptom depend on how much blood flow is blocked. Some people with mild pulmonary stenosis do not have symptoms. Those with more-severe pulmonary stenosis may first notice symptom while exercising. Pulmonary valve stenosis symptom may include: A whooshing sound called a heart murmur that can be heard with a stethoscope. Fatigue. Shortness of breath, especially during activity. Chest pain. Fainting. Babies with pulmonary valve stenosis may have blue or gray skin due to low oxygen levels.",830,Pulmonary Valve Stenosis
"vomiting,headache,altered sensorium",718,Paralysis (Brain Hemorrhage)
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
I have a rash on my leg that is getting worse. I have difficulty running.,1047,Varicose Veins
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"chill,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"Gout Open pop-up dialog box Close Gout Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Gout Open pop-up dialog box Gout Open pop-up dialog box Open pop-up dialog box Close Gout Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Close Gout Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Close Gout Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Close Close Close Gout Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Gout Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. Gout cause intense pain and swelling around one or more joints. Gout most commonly affect the joint at the base of the big toe. The sign and symptom of gout almost always occur suddenly, and often at night. They include: Intense joint pain. Gout usually affect the big toe, but it can occur in any joint. Other commonly affected joint include the ankles, knees, elbows, wrist and fingers. The pain is likely to be most severe within the first four to 12 hour after it begins. Lingering discomfort. After the most severe pain subsides, some joint discomfort may last from a few day to a few weeks. Later attack are likely to last longer and affect more joints. Inflammation and redness. The affected joint or joint become swollen, tender, warm and red. Limited range of motion. As gout progresses, you may not be able to move your joint normally.",424,Gout
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"Epididymitis Open pop-up dialog box Close Epididymitis Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Epididymitis Open pop-up dialog box Epididymitis Open pop-up dialog box Open pop-up dialog box Close Epididymitis Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Close Epididymitis Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Close Epididymitis Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Close Close Close Epididymitis Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Epididymitis Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Epididymitis is an inflammation of the coiled tube, called the epididymis, at the back of the testicle. Symptoms of epididymitis might include: A swollen, discolored or warm scrotum Testicle pain and tenderness, usually on one side, that often come on slowly Pain when you pas urine An urgent or frequent need to urinate Discharge from the penis Pain or discomfort in the lower abdomen or pelvic area Blood in the semen Less commonly, fever Chronic epididymitis Epididymitis that last longer than six week or that happens over and over again is considered chronic. Symptoms of chronic epididymitis might come on slowly. Sometimes the cause of chronic epididymitis isn't able to be found.",349,Epididymitis
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"chill,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"I've been feeling really sick lately. I've had a fever, chills, fatigue, a cough, and difficulty breathing. I've also been sweating a lot and just feeling really weak. I've also had some phlegm that's been really thick and dark.",766,Pneumonia
"The most common symptom of pneumonitis is shortness of breath, which may be accompanied by a dry cough. If pneumonitis is undetected or left untreated, you may gradually develop chronic pneumonitis, which can result in scarring (fibrosis) in the lungs. Signs and symptom of chronic pneumonitis include: Shortness of breath Cough Fatigue Loss of appetite Unintentional weight loss When to call a doctor Call your doctor anytime you have difficulty breathing, no matter what might be the cause.",767,Pneumonitis
"Petechiae Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Open pop-up dialog box Petechiae Open pop-up dialog box Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Close Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Thrombocytopenia sign and symptom may include: Easy or excessive bruising (purpura) Superficial bleeding into the skin that appears a a rash of pinpoint-sized reddish-purple spot (petechiae), usually on the lower leg Prolonged bleeding from cut Bleeding from your gum or nose Blood in urine or stool Unusually heavy menstrual flow Fatigue Enlarged spleen",983,Thrombocytopenia
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"chill,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,visual disturbances",630,Migraine
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"I have a skin condition that cause dry, red, scaly patch on my skin. It can be itchy and painful, and it can get worse when I'm stressed or if I'm exposed to certain triggers, like sunlight or certain chemicals.",822,Psoriasis
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"I've been having a headache and chest pain all day, and I'm also feeling dizzy and unsteady on my feet.",500,Hypertension
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
Signs and symptom of tongue-tie include: Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side Trouble sticking out the tongue past the lower front teeth A tongue that appears notched or heart shaped when stuck out,993,Tongue Tie
